"Key","Label","Big","Competencies","Content","Imported"
"adst|K|core","Applied Design, Skills and Technology Kindergarten","3","6","0","True"
"adst|1|core","Applied Design, Skills and Technology Grade 1","3","6","0","True"
"adst|2|core","Applied Design, Skills and Technology Grade 2","3","6","0","True"
"adst|3|core","Applied Design, Skills and Technology Grade 3","3","6","0","True"
"adst|4|core","Applied Design, Skills and Technology Grade 4","3","12","0","True"
"adst|5|core","Applied Design, Skills and Technology Grade 5","3","12","0","True"
"adst|6|core","Applied Design, Skills and Technology Grade 6","3","12","12","True"
"adst|7|core","Applied Design, Skills and Technology Grade 7","3","12","12","True"
"adst|8|core","Applied Design, Skills and Technology Grade 8","3","12","12","True"
"adst|9|core","Applied Design, Skills and Technology Grade 9","3","12","10","True"
"adst|10|computer-studies","Computer Studies 10","3","12","18","True"
"adst|10|culinary-arts","Culinary Arts 10","3","13","10","True"
"adst|10|drafting","Drafting 10","3","13","8","True"
"adst|10|electronics-and-robotics","Electronics and Robotics 10","3","13","15","True"
"adst|10|entrepreneurship-and-marketing","Entrepreneurship and Marketing 10","3","12","11","True"
"adst|10|family-and-society","Family and Society 10","3","13","10","True"
"adst|10|food-studies","Food Studies 10","3","13","8","True"
"adst|10|media-design","Media Design 10","3","12","11","True"
"adst|10|metalwork","Metalwork 10","3","13","14","True"
"adst|10|power-technology","Power Technology 10","3","13","15","True"
"adst|10|technology-explorations","Technology Explorations 10","3","13","33","True"
"adst|10|textiles","Textiles 10","3","12","7","True"
"adst|10|web-development","Web Development 10","4","11","14","True"
"adst|10|woodwork","Woodwork 10","3","13","9","True"
"adst|11|accounting","Accounting 11","3","24","14","True"
"adst|11|automotive-technology","Automotive Technology 11","3","14","12","True"
"adst|11|computer-information-systems","Computer Information Systems 11","3","12","18","True"
"adst|11|computer-programming","Computer Programming 11","3","13","17","True"
"adst|11|culinary-arts","Culinary Arts 11","3","13","12","True"
"adst|11|digital-communications","Digital Communications 11","3","13","17","True"
"adst|11|drafting","Drafting 11","3","13","10","True"
"adst|11|electronics","Electronics 11","3","14","12","True"
"adst|11|engineering","Engineering 11","3","14","16","True"
"adst|11|food-studies","Food Studies 11","3","13","8","True"
"adst|11|graphic-production","Graphic Production 11","3","14","15","True"
"adst|11|interpersonal-and-family-relationships","Interpersonal and Family Relationships 11","3","14","9","True"
"adst|11|marketing-and-promotion","Marketing and Promotion 11","3","14","12","True"
"adst|11|media-design","Media Design 11","3","13","16","True"
"adst|11|metalwork","Metalwork 11","3","13","15","True"
"adst|11|robotics","Robotics 11","3","14","11","True"
"adst|11|textiles","Textiles 11","3","13","9","True"
"adst|11|tourism","Tourism 11","3","14","13","True"
"adst|11|woodwork","Woodwork 11","3","13","13","True"
"adst|12|accounting","Accounting 12","3","24","14","True"
"adst|12|art-metal-and-jewellery","Art Metal and Jewellery 12","3","14","16","True"
"adst|12|automotive-technology","Automotive Technology 12","3","14","13","True"
"adst|12|business-computer-applications","Business Computer Applications 12","3","30","11","True"
"adst|12|child-development-and-caregiving","Child Development and Caregiving 12","3","14","11","True"
"adst|12|computer-information-systems","Computer Information Systems 12","3","12","14","True"
"adst|12|computer-programming","Computer Programming 12","3","13","15","True"
"adst|12|culinary-arts","Culinary Arts 12","3","13","14","True"
"adst|12|digital-media-development","Digital Media Development 12","3","13","15","True"
"adst|12|drafting","Drafting 12","3","13","13","True"
"adst|12|e-commerce","E-Commerce 12","3","14","16","True"
"adst|12|economics","Economics 12","3","23","21","True"
"adst|12|electronics","Electronics 12","3","14","17","True"
"adst|12|engine-and-drivetrain","Engine and Drivetrain 12","3","14","16","True"
"adst|12|engineering","Engineering 12","3","14","14","True"
"adst|12|entrepreneurship","Entrepreneurship 12","3","14","10","True"
"adst|12|fashion-industry","Fashion Industry 12","3","13","12","True"
"adst|12|financial-accounting","Financial Accounting 12","3","24","16","True"
"adst|12|food-studies","Food Studies 12","3","13","11","True"
"adst|12|furniture-and-cabinetry","Furniture and Cabinetry 12","3","13","17","True"
"adst|12|graphic-production","Graphic Production 12","3","14","17","True"
"adst|12|housing-and-living-environments","Housing and Living Environments 12","3","14","10","True"
"adst|12|industrial-coding-and-design","Industrial Coding and Design 12","3","14","17","True"
"adst|12|machining-and-welding","Machining and Welding 12","3","14","14","True"
"adst|12|mechatronics","Mechatronics 12","3","14","16","True"
"adst|12|media-design","Media Design 12","3","13","18","True"
"adst|12|metalwork","Metalwork 12","3","13","16","True"
"adst|12|rovs-and-drones","Remotely Operated Vehicles and Drones 12","3","14","18","True"
"adst|12|robotics","Robotics 12","3","14","14","True"
"adst|12|specialized-studies-in-food","Specialized Studies in Food 12","3","13","10","True"
"adst|12|textiles","Textiles 12","3","14","12","True"
"adst|12|tourism","Tourism 12","3","14","12","True"
"adst|12|woodwork","Woodwork 12","3","13","17","True"
"arts-education|K|core","Arts Education Kindergarten","4","11","8","True"
"arts-education|1|core","Arts Education Grade 1","4","11","7","True"
"arts-education|2|core","Arts Education Grade 2","4","11","8","True"
"arts-education|3|core","Arts Education Grade 3","4","14","10","True"
"arts-education|4|core","Arts Education Grade 4","4","14","10","True"
"arts-education|5|core","Arts Education Grade 5","4","15","10","True"
"arts-education|6|core","Arts Education Grade 6","4","16","10","True"
"arts-education|7|core","Arts Education Grade 7","4","16","11","True"
"arts-education|8|core","Arts Education Grade 8","4","16","11","True"
"arts-education|9|dance","Dance 9","4","16","10","True"
"arts-education|9|drama","Drama 9","4","16","7","True"
"arts-education|9|music","Music 9","4","15","7","True"
"arts-education|9|visual-arts","Visual Arts 9","4","19","7","True"
"arts-education|10|art-studio","Art Studio 10","5","16","12","True"
"arts-education|10|choral-music","Choral Music 10","5","21","9","True"
"arts-education|10|contemporary-music","Contemporary Music 10","5","22","10","True"
"arts-education|10|dance-choreography","Dance Choreography 10","5","25","12","True"
"arts-education|10|dance-company","Dance Company 10","4","24","15","True"
"arts-education|10|dance-foundations","Dance Foundations 10","5","23","14","True"
"arts-education|10|dance-technique-and-performance","Dance Technique and Performance 10","5","23","14","True"
"arts-education|10|drama","Drama 10","5","20","10","True"
"arts-education|10|instrumental-music","Instrumental Music 10","5","22","9","True"
"arts-education|10|media-arts","Media Arts 10","5","17","12","True"
"arts-education|10|musical-theatre","Musical Theatre 10","4","19","7","True"
"arts-education|10|photography","Photography 10","5","15","13","True"
"arts-education|10|studio-arts-2D","Studio Arts 2D 10","5","18","12","True"
"arts-education|10|studio-arts-3D","Studio Arts 3D 10","5","16","13","True"
"arts-education|10|theatre-company","Theatre Company 10","4","16","12","True"
"arts-education|10|theatre-production","Theatre Production 10","5","18","11","True"
"arts-education|11|art-studio","Art Studio 11","5","21","11","True"
"arts-education|11|choral-music","Choral Music 11","5","24","12","True"
"arts-education|11|composition-and-production","Composition & Production 11","4","22","14","True"
"arts-education|11|contemporary-music","Contemporary Music 11","5","24","12","True"
"arts-education|11|dance-choreography","Dance Choreography 11","5","22","15","True"
"arts-education|11|dance-company","Dance Company 11","4","21","16","True"
"arts-education|11|dance-conditioning","Dance Conditioning 11","5","15","17","True"
"arts-education|11|dance-foundations","Dance Foundations 11","5","23","13","True"
"arts-education|11|dance-technique-and-performance","Dance Technique and Performance 11","5","25","14","True"
"arts-education|11|directing-and-script-development","Directing and Script Development 11","5","21","10","True"
"arts-education|11|drama","Drama 11","5","23","14","True"
"arts-education|11|film-and-television","Film & Television 11","5","25","11","True"
"arts-education|11|graphic-arts","Graphic Arts 11","5","24","12","True"
"arts-education|11|instrumental-music","Instrumental Music 11","5","23","12","True"
"arts-education|11|media-arts","Media Arts 11","4","24","14","True"
"arts-education|11|musical-theatre","Musical Theatre 11","5","21","9","True"
"arts-education|11|photography","Photography 11","4","21","15","True"
"arts-education|11|studio-arts-2D","Studio Arts 2D 11","5","22","12","True"
"arts-education|11|studio-arts-3D","Studio Arts 3D 11","5","23","13","True"
"arts-education|11|theatre-company","Theatre Company 11","4","18","13","True"
"arts-education|11|theatre-production","Theatre Production 11","5","19","10","True"
"arts-education|12|art-studio","Art Studio 12","5","23","12","True"
"arts-education|12|choral-music","Choral Music 12","5","24","13","True"
"arts-education|12|composition-and-production","Composition & Production 12","5","22","15","True"
"arts-education|12|contemporary-music","Contemporary Music 12","5","26","12","True"
"arts-education|12|dance-choreography","Dance Choreography 12","5","22","16","True"
"arts-education|12|dance-company","Dance Company 12","5","23","16","True"
"arts-education|12|dance-conditioning","Dance Conditioning 12","5","20","17","True"
"arts-education|12|dance-foundations","Dance Foundations 12","5","24","14","True"
"arts-education|12|dance-technique-and-performance","Dance Technique and Performance 12","5","24","15","True"
"arts-education|12|directing-and-script-development","Directing and Script Development 12","5","22","10","True"
"arts-education|12|drama","Drama 12","5","25","14","True"
"arts-education|12|film-and-television","Film & Television 12","5","26","11","True"
"arts-education|12|graphic-arts","Graphic Arts 12","5","24","13","True"
"arts-education|12|instrumental-music","Instrumental Music 12","5","27","14","True"
"arts-education|12|media-arts","Media Arts 12","4","24","14","True"
"arts-education|12|musical-theatre","Musical Theatre 12","5","23","10","True"
"arts-education|12|photography","Photography 12","5","21","16","True"
"arts-education|12|studio-arts-2D","Studio Arts 2D 12","5","22","13","True"
"arts-education|12|studio-arts-3D","Studio Arts 3D 12","5","23","14","True"
"arts-education|12|theatre-company","Theatre Company 12","5","19","13","True"
"arts-education|12|theatre-production","Theatre Production 12","5","20","10","True"
"career-education|K|core","Career Education Kindergarten","6","9","2","True"
"career-education|1|core","Career Education Grade 1","6","9","2","True"
"career-education|2|core","Career Education Grade 2","6","9","2","True"
"career-education|3|core","Career Education Grade 3","6","9","2","True"
"career-education|4|core","Career Education Grade 4","5","10","2","True"
"career-education|5|core","Career Education Grade 5","5","10","2","True"
"career-education|6|core","Career Education Grade 6","6","13","3","True"
"career-education|7|core","Career Education Grade 7","6","13","3","True"
"career-education|8|core","Career Education Grade 8","5","13","3","True"
"career-education|9|core","Career Education Grade 9","5","13","3","True"
"career-education|10|career-life-education","Career-Life Education","0","0","0","False"
"career-education|11|courses","Career-Life Connections","0","0","0","False"
"career-education|12|courses","Career-Life Connections","0","0","0","False"
"english-language-arts|K|core","English Language Arts Kindergarten","7","12","3","True"
"english-language-arts|1|core","English Language Arts Grade 1","7","15","3","True"
"english-language-arts|2|core","English Language Arts Grade 2","6","14","3","True"
"english-language-arts|3|core","English Language Arts Grade 3","5","18","3","True"
"english-language-arts|4|core","English Language Arts Grade 4","5","19","3","True"
"english-language-arts|5|core","English Language Arts Grade 5","5","20","3","True"
"english-language-arts|6|core","English Language Arts Grade 6","5","19","3","True"
"english-language-arts|7|core","English Language Arts Grade 7","5","20","3","True"
"english-language-arts|8|core","English Language Arts Grade 8","5","20","3","True"
"english-language-arts|9|core","English Language Arts Grade 9","5","22","3","True"
"english-language-arts|10|composition","Composition 10","4","19","4","True"
"english-language-arts|10|creative-writing","Creative Writing 10","5","18","4","True"
"english-language-arts|10|literary-studies","Literary Studies 10","5","21","4","True"
"english-language-arts|10|efp-literary-studies","Literary Studies 10","5","18","8","True"
"english-language-arts|10|new-media","New Media 10","5","22","4","True"
"english-language-arts|10|efp-new-media","New Media 10","4","21","8","True"
"english-language-arts|10|spoken-language","Spoken Language 10","5","19","3","True"
"english-language-arts|10|efp-spoken-language","Spoken Language 10","4","19","8","True"
"english-language-arts|10|efp-writing","Writing 10","4","18","8","True"
"english-language-arts|11|composition","Composition 11","7","24","4","True"
"english-language-arts|11|creative-writing","Creative Writing 11","6","23","4","True"
"english-language-arts|11|efp-literary-studies-and-new-media","EFP: Literary Studies + New Media 11","6","30","10","True"
"english-language-arts|11|efp-literary-studies-and-spoken-language","EFP: Literary Studies + Spoken Language 11","6","26","9","True"
"english-language-arts|11|efp-literary-studies-and-writing","EFP: Literary Studies + Writing 11","6","26","9","True"
"english-language-arts|11|literary-studies","Literary Studies 11","5","24","4","True"
"english-language-arts|11|new-media","New Media 11","5","25","5","True"
"english-language-arts|11|spoken-language","Spoken Language 11","5","26","4","True"
"english-language-arts|12|composition","Composition 12","5","23","4","True"
"english-language-arts|12|creative-writing","Creative Writing 12","6","25","4","True"
"english-language-arts|12|english-first-peoples","English First Peoples 12","6","27","9","True"
"english-language-arts|12|english-studies","English Studies 12","6","24","5","True"
"english-language-arts|12|literary-studies","Literary Studies 12","5","24","6","True"
"english-language-arts|12|new-media","New Media 12","5","25","5","True"
"english-language-arts|12|spoken-language","Spoken Language 12","5","23","5","True"
"francais-langue-premiere|K|core","Français langue première Kindergarten","5","11","5","True"
"francais-langue-premiere|1|core","Français langue première Grade 1","7","13","7","True"
"francais-langue-premiere|2|core","Français langue première Grade 2","7","14","5","True"
"francais-langue-premiere|3|core","Français langue première Grade 3","6","13","5","True"
